Classifier,Accuracy,n_estimators,Pipelining
Random Forest,0.9624615384615385,1,False
Bagging,0.9821538461538462,1,False
AdaBoost,0.9803076923076923,1,False
Voting,0.9926153846153846,1,False
Random Forest,0.9907692307692307,11,False
Bagging,0.9901538461538462,11,False
AdaBoost,1.0,11,False
Voting,0.9950769230769231,11,False
Random Forest,0.9895384615384616,21,False
Bagging,0.9901538461538462,21,False
AdaBoost,1.0,21,False
Voting,0.9950769230769231,21,False
Random Forest,0.9895384615384616,31,False
Bagging,0.9901538461538462,31,False
AdaBoost,1.0,31,False
Voting,0.9950769230769231,31,False
Random Forest,0.9895384615384616,41,False
Bagging,0.9901538461538462,41,False
AdaBoost,1.0,41,False
Voting,0.9950769230769231,41,False
Random Forest,0.9895384615384616,51,False
Bagging,0.9876923076923076,51,False
AdaBoost,1.0,51,False
Voting,0.9950769230769231,51,False
Random Forest,0.9895384615384616,61,False
Bagging,0.9876923076923076,61,False
AdaBoost,1.0,61,False
Voting,0.9950769230769231,61,False
Random Forest,0.9895384615384616,71,False
Bagging,0.9876923076923076,71,False
AdaBoost,1.0,71,False
Voting,0.9950769230769231,71,False
Random Forest,0.9895384615384616,81,False
Bagging,0.9876923076923076,81,False
AdaBoost,1.0,81,False
Voting,0.9950769230769231,81,False
Random Forest,0.9895384615384616,91,False
Bagging,0.9901538461538462,91,False
AdaBoost,1.0,91,False
Voting,0.9950769230769231,91,False
Random Forest,0.9624615384615385,1,True
Bagging,0.9821538461538462,1,True
AdaBoost,0.9803076923076923,1,True
Voting,0.9926153846153846,1,True
Random Forest,0.9907692307692307,11,True
Bagging,0.9901538461538462,11,True
AdaBoost,1.0,11,True
Voting,0.9950769230769231,11,True
Random Forest,0.9895384615384616,21,True
Bagging,0.9901538461538462,21,True
AdaBoost,1.0,21,True
Voting,0.9950769230769231,21,True
Random Forest,0.9895384615384616,31,True
Bagging,0.9901538461538462,31,True
AdaBoost,1.0,31,True
Voting,0.9950769230769231,31,True
Random Forest,0.9895384615384616,41,True
Bagging,0.9901538461538462,41,True
AdaBoost,1.0,41,True
Voting,0.9950769230769231,41,True
Random Forest,0.9895384615384616,51,True
Bagging,0.9876923076923076,51,True
AdaBoost,1.0,51,True
Voting,0.9950769230769231,51,True
Random Forest,0.9895384615384616,61,True
Bagging,0.9876923076923076,61,True
AdaBoost,1.0,61,True
Voting,0.9950769230769231,61,True
Random Forest,0.9895384615384616,71,True
Bagging,0.9876923076923076,71,True
AdaBoost,1.0,71,True
Voting,0.9950769230769231,71,True
Random Forest,0.9895384615384616,81,True
Bagging,0.9876923076923076,81,True
AdaBoost,1.0,81,True
Voting,0.9950769230769231,81,True
Random Forest,0.9895384615384616,91,True
Bagging,0.9901538461538462,91,True
AdaBoost,1.0,91,True
Voting,0.9950769230769231,91,True
